// https://flight.fandom.com/wiki/Microsoft_Flight_Simulator_(2020)/List_of_hand-crafted_airports

US,Aspen-Pitkin County Airport,KASE
PG,Bugalaga Airstrip,WX53
PE,Chagual Airport,SPGL
FR,Courchevel Altiport,LFLJ
IE,Donegal Airport,EIDL
UG,Entebbe International Airport,HUEN
PT,Cristiano Ronaldo Madeira International Airport,LPMA
GI,Gibraltar International Airport,LXGB
AT,Innsbruck Airport,LOWI
US,Los Angeles International Airport,KLAX
NP,Tenzing-Hillary Airport,VNLK
//US,Nanwalek Airport,
US,John F. Kennedy International Airport,KJFK
US,Orlando International Airport,KMCO
FR,Charles de Gaulle Airport,LFPG
BT,Paro International Airport,VQPR
NZ,Queenstown Airport,NZQN
EC,Mariscal Sucre International Airport,SEQM
BR,Rio de Janeiro/Galeão International Airport,SBGL
NL,Juancho E. Yrauquin Airport,TNCS
BL,Gustaf III Airport,TFFJ
US,Seattle-Tacoma International Airport,KSEA
US,Sedona Airport,KSEZ
CR,Sirena Aerodrome,MRSN
CA,Stewart Aerodrome,CZST
AU,Sydney Kingsford Smith Airport,YSSY
US,Telluride Regional Airport,KTEX
JP,Haneda Airport,RJTT
HN,Toncontin International Airport,MHTG
CA,Billy Bishop Toronto City Airport,CYTZ
NL,Amsterdam Airport Schiphol,EHAM
EG,Cairo International Airport,HECA
ZA,Cape Town International Airport,FACT
US,O'Hare International Airport,KORD
ES,Adolfo Suárez Madrid-Barajas Airport,LEMD
US,Denver International Airport,KDEN
AE,Dubai International Airport,OMDB
DE,Frankfurt Airport,EDDF
GB,Heathrow Airport,EGLL
US,San Francisco International Airport,KSFO
//Bryant Army Airfield Heliport,PAFR
JP,Hachijojima Airport,RJTH
JP,Kerama Airport,ROKR
JP,Kushiro Airport,RJCK
JP,Nagasaki Airport,RJFU
JP,Shimojishima Airport,RORS
JP,Suwanosejima Airport,RJX8
US,Friday Harbor Airport,KFHR
US,Dallas-Fort Worth International Airport,KDFW
US,Stewart International Airport,KSWF
US,Hartsfield-Jackson Atlanta International Airport,KATL
GB,Barra Airport,EGPR
GB,Liverpool John Lennon Airport,EGGP
GB,Land's End Airport,EGHC
GB,Manchester City Airport & Heliport,EGCB
GB,Out Skerries Airstrip,EG78
FR,Megève Altiport,LFHM
FR,Nice Côte d'Azur Airport,LFMN
NL,Rotterdam The Hague Airport,EHRD
DK,Bornholm Airport,EKRN
IS,Ísafjörður Airport,BIIS
SE,Stockholm Arlanda Airport,ESSA
SJ,Svalbard Airport,ENSB
FI,Vaasa Airport,EFVA
AT,Klagenfurt Airport,LOWK
DE,Lübeck Airport,EDHL
CH,St. Gallen-Altenrhein Airport,LSZR
DE,Stuttgart Airport,EDDS
DE,Leipzig/Halle Airport,EDDP
DE,Memmingen Airport,EDJA
DE,Kassel Airport,EDVK
CH,Lugano Airport,LSZA
CH,Zurich Airport,LSZH
CH,Luzern-Beromunster Airport,LSZO
US,Patrick Space Force Base,KCOF
US,Marine Corps Air Station Miramar,KNKX
AU,Cambridge Bay Airport,YMBT
AU,Longreach Airport,YLRE
AU,Paraburdoo Airport,YPBO
AU,Shellharbour Airport,YSHL
ES,Andorra-La Seu d'Urgell Airport,LESU
PT,Pico Airport,LPPI
PT,Faro Airport,LPFR
ES,A Coruña Airport,LECO
IT,Falcone Borsellino Airport,LICJ
IT,Iloilo International Airport,LILO
IT,Marina di Campo Airport,LIRJ
IT,Bolzano Airport,LIPB
US,Catalina Airport,KAVX
US,Valdez Airport,PAVD
US,Lake Tahoe Airport,KTVL
US,Block Island Airport,KBID
CA,Bella Coola Airport,CYBD
CA,Castlegar Airport,CYCG
CA,Dawson City Airport,CYDA
CA,Deer Lake Airport,CYDF
CA,Iqaluit International Airport,CYFB
HK,Kai Tak International Airport,VHHX
US,Meigs Field,KCGX
MF,Princess Juliana International Airport,TNCM
US,First Flight Airport "Kitty Hawk",KFFA
